timestamp,latitude,longitude,altitude,temperature,humidity,pressure,light,air_quality,battery_voltage
2026-03-15T08:00:00,24.44,54.37,60.0,23.5,83.0,1014.0,15600.0,89.0,4.15
2026-03-15T08:00:05,24.44,54.372308,60.2,23.5,83.0,1014.0,15600.0,89.0,4.149
2026-03-15T08:00:10,24.44,54.374615,60.4,23.5,83.0,1014.0,15600.0,89.0,4.148
2026-03-15T08:00:15,24.44,54.376923,60.6,23.5,83.0,1014.0,15600.0,89.0,4.147
2026-03-15T08:00:20,24.44,54.379231,60.79,23.5,83.0,1014.0,15600.0,89.0,4.147
2026-03-15T08:00:25,24.44,54.381538,60.98,23.5,83.0,1014.0,15600.0,89.0,4.146
2026-03-15T08:00:30,24.44,54.383846,61.17,23.5,83.0,1014.0,15600.0,89.0,4.145
2026-03-15T08:00:35,24.44,54.386154,61.35,23.5,83.0,1014.0,15600.0,89.0,4.144
2026-03-15T08:00:40,24.44,54.388462,61.53,23.5,83.0,1014.0,15600.0,89.0,4.143
2026-03-15T08:00:45,24.44,54.390769,61.69,23.5,83.0,1014.0,15600.0,89.0,4.143
2026-03-15T08:00:50,24.44,54.393077,61.86,23.5,83.0,1014.0,15600.0,89.0,4.142
2026-03-15T08:00:55,24.44,54.395385,62.01,23.5,83.0,1014.0,15600.0,89.0,4.141
2026-03-15T08:01:00,24.44,54.397692,62.15,23.53,82.87,1014.01,16018.0,89.0,4.14
2026-03-15T08:01:05,24.44,54.4,62.29,23.53,82.87,1014.01,16018.0,89.0,4.139
2026-03-15T08:01:10,24.44,54.402308,62.41,23.53,82.87,1014.01,16018.0,89.0,4.138
2026-03-15T08:01:15,24.44,54.404615,62.52,23.53,82.87,1014.01,16018.0,89.0,4.138
2026-03-15T08:01:20,24.44,54.406923,62.63,23.53,82.87,1014.01,16018.0,89.0,4.137
2026-03-15T08:01:25,24.44,54.409231,62.72,23.53,82.87,1014.01,16018.0,89.0,4.136
2026-03-15T08:01:30,24.44,54.411538,62.8,23.53,82.87,1014.01,16018.0,89.0,4.135
2026-03-15T08:01:35,24.44,54.413846,62.86,23.53,82.87,1014.01,16018.0,89.0,4.134
2026-03-15T08:01:40,24.44,54.416154,62.92,23.53,82.87,1014.01,16018.0,89.0,4.133
2026-03-15T08:01:45,24.44,54.418462,62.96,23.53,82.87,1014.01,16018.0,89.0,4.133
2026-03-15T08:01:50,24.44,54.420769,62.98,23.53,82.87,1014.01,16018.0,89.0,4.132
2026-03-15T08:01:55,24.44,54.423077,63.0,23.53,82.87,1014.01,16018.0,89.0,4.131
2026-03-15T08:02:00,24.44,54.425385,63.0,23.56,82.73,1014.02,16436.0,89.0,4.13
2026-03-15T08:02:05,24.44,54.427692,62.99,23.56,82.73,1014.02,16436.0,89.0,4.129
2026-03-15T08:02:10,24.44,54.43,62.96,23.56,82.73,1014.02,16436.0,89.0,4.128
2026-03-15T08:02:15,24.44,54.432308,62.92,23.56,82.73,1014.02,16436.0,89.0,4.128
2026-03-15T08:02:20,24.44,54.434615,62.87,23.56,82.73,1014.02,16436.0,89.0,4.127
2026-03-15T08:02:25,24.44,54.436923,62.81,23.56,82.73,1014.02,16436.0,89.0,4.126
2026-03-15T08:02:30,24.44,54.439231,62.73,23.56,82.73,1014.02,16436.0,89.0,4.125
