timestamp,latitude,longitude,altitude,temperature,humidity,pressure,light,air_quality,battery_voltage,surface_type
2026-08-15T12:00:00,24.4539,54.3773,15.0,48.0,27.48,1007.02,80441.4,30.7,3.9,asphalt
2026-08-15T12:00:05,24.4539,54.3777,15.0,48.32,29.77,1007.21,79881.8,30.0,3.9,asphalt
2026-08-15T12:00:10,24.4539,54.3781,15.0,48.46,27.22,1008.32,81331.9,25.7,3.9,asphalt
2026-08-15T12:00:15,24.4539,54.3785,15.0,47.69,28.69,1008.96,78490.9,29.9,3.9,asphalt
2026-08-15T12:00:20,24.4539,54.3789,15.0,48.32,32.43,1007.63,80764.5,31.8,3.9,asphalt
2026-08-15T12:00:25,24.4539,54.3793,15.0,47.87,31.62,1007.19,80571.8,32.4,3.9,asphalt
2026-08-15T12:00:30,24.4543,54.3773,15.0,43.98,30.41,1008.35,80667.1,30.6,3.9,building
2026-08-15T12:00:35,24.4543,54.3777,15.0,44.17,28.98,1008.68,81846.0,31.7,3.9,building
2026-08-15T12:00:40,24.4543,54.3781,15.0,43.67,28.3,1008.81,81383.5,25.1,3.9,building
2026-08-15T12:00:45,24.4543,54.3785,15.0,44.49,27.09,1008.92,81604.9,28.6,3.9,building
2026-08-15T12:00:50,24.4543,54.3789,15.0,43.64,31.75,1007.38,79236.6,27.2,3.9,building
2026-08-15T12:00:55,24.4543,54.3793,15.0,44.31,30.99,1007.29,78995.7,25.8,3.9,building
2026-08-15T12:01:00,24.4547,54.3773,15.0,40.33,28.18,1007.13,78712.5,34.0,3.9,open
2026-08-15T12:01:05,24.4547,54.3777,15.0,39.54,31.57,1007.33,80781.7,27.0,3.9,open
2026-08-15T12:01:10,24.4547,54.3781,15.0,39.93,28.81,1007.25,79880.6,28.9,3.9,open
2026-08-15T12:01:15,24.4547,54.3785,15.0,40.4,31.16,1007.6,79998.2,32.2,3.9,open
2026-08-15T12:01:20,24.4547,54.3789,15.0,39.51,31.94,1007.61,80482.4,32.7,3.9,open
2026-08-15T12:01:25,24.4547,54.3793,15.0,39.73,29.4,1008.03,80253.6,26.6,3.9,open
2026-08-15T12:01:30,24.4551,54.3773,15.0,37.27,27.52,1007.17,81866.6,31.4,3.9,grass
2026-08-15T12:01:35,24.4551,54.3777,15.0,37.06,32.87,1008.03,81110.4,25.8,3.9,grass
2026-08-15T12:01:40,24.4551,54.3781,15.0,37.45,32.66,1008.09,81696.7,31.3,3.9,grass
2026-08-15T12:01:45,24.4551,54.3785,15.0,37.42,31.87,1008.93,78395.7,30.2,3.9,grass
2026-08-15T12:01:50,24.4551,54.3789,15.0,36.73,27.59,1008.35,79709.8,26.5,3.9,grass
2026-08-15T12:01:55,24.4551,54.3793,15.0,36.74,31.51,1007.99,78898.8,28.7,3.9,grass
2026-08-15T12:02:00,24.4555,54.3773,15.0,33.68,30.06,1007.36,81852.6,29.8,3.9,shaded
2026-08-15T12:02:05,24.4555,54.3777,15.0,34.2,31.93,1007.92,78600.3,29.8,3.9,shaded
2026-08-15T12:02:10,24.4555,54.3781,15.0,33.82,27.72,1008.29,78810.7,33.6,3.9,shaded
2026-08-15T12:02:15,24.4555,54.3785,15.0,33.7,27.97,1007.9,78808.4,34.0,3.9,shaded
2026-08-15T12:02:20,24.4555,54.3789,15.0,33.78,27.06,1007.81,80065.3,29.8,3.9,shaded
2026-08-15T12:02:25,24.4555,54.3793,15.0,34.04,31.4,1008.26,78032.1,34.5,3.9,shaded
